"id_provincia","nombre_provincia","cantidad_usuarios"
6,"BUENOS AIRES",1663320
2,"CAPITAL FEDERAL",931537
10,"CATAMARCA",10939
22,"CHACO",23649
26,"CHUBUT",70265
14,"CORDOBA",424337
18,"CORRIENTES",39402
30,"ENTRE RIOS",76230
34,"FORMOSA",11111
38,"JUJUY",22834
42,"LA PAMPA",29853
46,"LA RIOJA",14000
50,"MENDOZA",136989
54,"MISIONES",34681
58,"NEUQUEN",61563
62,"RIO NEGRO",53079
66,"SALTA",49502
70,"SAN JUAN",40544
74,"SAN LUIS",25176
78,"SANTA CRUZ",43873
82,"SANTA FE",376989
86,"SANTIAGO DEL ESTERO",15209
94,"TIERRA DEL FUEGO",30940
90,"TUCUMAN",35840
999999,"NO IDENTIFICADA",74066
